vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
2267,49189,8001,80,0,S,,49189,0,112,0,0,0,0,13,,9.1186,9.2087,169.228608,-122.57826,45.65826833333333,2,2
2267,47262,8001,80,0,S,47220,47262,0,492,1,0,8,0,8,,0,0,28.568262,-122.50499833333333,45.594168333333336,2,5
2267,48024,8001,80,0,S,,48024,0,892,0,0,0,0,14,,3.2106,3.2647,51.721319,-122.53454,45.6234,2,2
2267,48378,8001,80,0,S,,48369,9,312,1,0,0,1,12,,5.5936,5.7054,22.329224,-122.55147,45.64286833333333,2,2
2267,48590,8001,80,0,S,,48590,0,785,0,0,0,0,15,,6.6704,6.7804,126.648379,-122.55786833333333,45.65341166666666,2,2
2267,49002,8001,80,0,S,,49002,0,773,0,0,0,0,15,,8.4531,8.5569,38.79574,-122.56731,45.662506666666665,2,2
2267,50252,8001,7,0,S,,50252,0,729,0,0,0,0,8,,1.6665,1.6479,167.706302,-122.55772666666667,45.665971666666664,2,2
2267,50631,8001,7,0,S,,50631,0,141,0,0,0,0,8,,3.0658,3.0528,27.959144,-122.55247666666666,45.68327333333333,2,2
2267,51614,8001,7,0,S,,51521,93,1009,1,1,3,1,7,,9.1155,9.2243,5.501812,-122.54972333333333,45.769905,2,2
2267,51739,8001,7,0,S,,51727,12,872,1,0,0,1,6,,9.9469,10.0737,2.125781,-122.55819,45.776941666666666,2,2
2267,52016,8001,7,0,S,,52016,0,160,0,0,0,0,4,,11.0896,11.2114,6.243111,-122.54001333333333,45.78076166666666,2,2
2267,52075,8001,7,0,S,,52075,0,162,0,0,0,0,4,,11.2512,11.3705,46.070437,-122.536575,45.780838333333335,2,2
2267,51972,8001,7,0,S,,51961,11,157,1,0,0,1,4,,10.774,10.9243,20.721264,-122.54589,45.78066666666667,2,2
2267,52208,8001,7,0,S,51720,52208,0,867,0,0,0,0,4,,11.99,12.136,171.804811,-122.526945,45.77550333333333,2,6
2267,50293,8001,7,0,S,,50293,0,1138,0,0,0,0,8,,1.7958,1.7995,16.726163,-122.55646666666667,45.667055,2,2
2267,51872,8001,7,0,S,,51872,0,156,0,0,0,0,6,,10.6478,10.7522,194.243071,-122.54878,45.780635,2,2
2267,51994,8001,7,0,S,,51994,0,159,0,0,0,0,4,,10.9411,11.0716,24.528268,-122.54300833333333,45.78071833333333,2,2
2267,49831,8001,7,0,S,49800,49831,0,1095,1,1,9,0,9,,0,0,250.016841,-122.58498166666666,45.655995,2,5
2267,50443,8001,7,0,S,,50443,0,1042,0,0,0,0,8,,2.1829,2.1686,147.579474,-122.55248666666667,45.67082166666667,2,2
2267,50543,8001,7,0,S,,50543,0,140,0,0,0,0,8,,2.7545,2.7434,129.175764,-122.552475,45.679096666666666,2,2
2267,50643,8001,7,0,S,,50643,0,569,0,0,0,0,8,,3.1914,3.1982,50.119637,-122.55248166666667,45.685453333333335,2,2
2267,50835,8001,7,0,S,,50835,0,143,0,0,0,0,7,,4.1825,4.1949,71.257315,-122.55270166666666,45.69957333333333,2,2
2267,51179,8001,7,0,S,,51179,0,844,0,0,0,0,6,,6.2777,6.3218,56.080699,-122.55207166666666,45.730403333333335,2,2
2267,52122,8001,7,0,S,,52122,0,163,0,0,0,0,4,,11.4792,11.5911,207.910796,-122.53137833333334,45.780928333333335,2,2
2267,52180,8001,7,0,S,,52180,0,869,0,0,0,0,4,,11.8377,11.9689,5.763814,-122.52772333333333,45.778081666666665,2,2
2267,49961,8001,7,0,S,,49961,0,111,0,0,0,0,9,,0.5797,0.5412,26.161078,-122.57688,45.65811166666667,2,2
2267,50104,8001,7,0,S,,50094,10,354,1,0,0,1,8,,1.2278,1.239,10.637972,-122.56572333333334,45.663085,2,2
2267,50080,8001,7,0,S,,50080,0,352,0,0,0,0,9,,1.1508,1.1067,99.180607,-122.56772333333333,45.662153333333336,2,2
2267,50507,8001,7,0,S,,50507,0,1043,0,0,0,0,8,,2.4929,2.4787,192.859872,-122.55247666666666,45.675425,2,2
2267,50709,8001,7,0,S,,50682,27,835,1,0,1,0,9,,3.5226,3.5791,15.625182,-122.55264166666667,45.69081166666667,2,2
2267,50978,8001,7,0,S,50640,50875,103,144,1,0,0,1,6,,4.5634,4.6249,78.204663,-122.55268166666667,45.7062,2,4
2267,50797,8001,7,0,S,,50784,13,142,1,0,1,1,7,,3.7431,3.8003,42.400989,-122.55270666666667,45.69416666666667,2,2
2267,52141,8001,7,0,S,,52141,0,164,0,0,0,0,4,,11.573,11.6979,157.336281,-122.52936,45.78094166666666,2,2
2267,50140,8001,7,0,S,,50140,0,356,0,0,0,0,8,,1.3757,1.3645,55.404288,-122.56373333333333,45.663916666666665,2,2
2267,50232,8001,7,0,S,,50232,0,358,0,0,0,0,8,,1.5435,1.5205,131.832257,-122.5603,45.66529666666667,2,2
2267,51806,8001,7,0,S,51240,51806,0,676,0,0,0,0,6,,10.239,10.3607,81.618994,-122.55730166666666,45.78053666666667,2,4
2267,51818,8001,7,0,S,,51818,0,706,0,0,0,0,6,,10.3514,10.4745,7.536414,-122.55529166666666,45.78059,2,2
2267,52575,8001,7,1,S,,52575,0,983,0,0,0,0,5,,1.697,1.7467,55.443549,-122.55320166666667,45.780735,2,2
2267,53102,8001,7,1,S,,53102,0,155,1,0,0,0,6,,5.9745,6.0938,122.778998,-122.55251,45.728743333333334,2,2
2267,53445,8001,7,1,S,,53445,0,149,0,0,0,0,6,,8.4587,8.578,133.125645,-122.55289666666667,45.69273666666667,2,2
2267,53565,8001,7,1,S,,53565,0,151,0,0,0,0,7,,8.9577,9.113,12.963692,-122.55266,45.68532,2,2
2267,54114,8001,7,1,S,,54114,0,112,0,0,0,0,8,,11.6116,11.8023,184.75989,-122.57832,45.65827,2,2
2267,52428,8001,7,1,S,,52428,0,158,0,0,0,0,4,,1.2925,1.3161,165.05374,-122.545125,45.780825,2,2
2267,53639,8001,7,1,S,,53639,0,152,0,0,0,0,7,,9.2336,9.3827,98.027218,-122.55265833333333,45.68117,2,2
2267,53758,8001,7,1,S,,53749,9,1040,1,0,0,1,8,,9.6785,9.8748,31.866304,-122.55268,45.674218333333336,2,2
2267,53938,8001,7,1,S,,53938,0,732,0,0,0,0,8,,10.449,10.6665,132.911021,-122.55793833333334,45.666035,2,2
2267,52715,8001,7,1,S,,52715,0,870,0,0,0,0,6,,2.1767,2.2363,36.26434,-122.55827833333333,45.776891666666664,2,2
2267,53505,8001,7,1,S,,53480,25,820,1,0,1,0,7,,8.6029,8.7881,7.376313,-122.55286,45.69006666666667,2,2
2267,53835,8001,7,1,S,,53835,0,1041,0,0,0,0,8,,9.9948,10.1613,53.388409,-122.55268,45.67002,2,2
2267,54007,8001,7,1,S,,54007,0,355,0,0,0,0,8,,10.8069,11.0194,14.399976,-122.56487833333334,45.66362,2,2
