vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4012,50865,6051,60,1,,50846,908,4,0.0416,0.1877,23.710028,-122.67049666666666,45.62856166666667,2,2,14:07:45,,14:07:26
4012,51667,6051,60,1,,51653,1015,7,2.5333,2.7452,25.493792,-122.684685,45.61232,2,2,14:21:07,,14:20:53
4012,52019,6051,60,1,51960.0,52019,832,0,4.0843,4.3782,12.576693,-122.68546,45.596131666666665,2,6,14:26:59,14:26:00,14:26:59
4012,50798,6051,60,1,50940.0,50798,906,5,0.0,0.0,521.824431,-122.67056333333332,45.62768166666667,2,5,14:06:38,14:09:00,14:06:38
