vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
6001,58237,5003,50,0,,58221,1121,5,1.9492,2.0282,10.893688,-122.645995,45.63829666666667,2,2,16:10:37,,16:10:21
6001,57990,5003,50,0,,57972,1117,7,1.1558,1.2142,67.982847,-122.65968833333334,45.633561666666665,2,2,16:06:30,,16:06:12
6001,58094,5003,50,0,,58077,1118,7,1.4882,1.5466,117.939544,-122.65403833333332,45.635646666666666,2,2,16:08:14,,16:07:57
6001,58935,5003,50,0,58740.0,58919,1128,7,4.2725,4.3794,38.559654,-122.59935333333334,45.64492,2,4,16:22:15,16:19:00,16:21:59
6001,58354,5003,50,0,58200.0,58336,1122,8,2.176,2.2506,36.163805,-122.64126333333331,45.63789666666667,2,4,16:12:34,16:10:00,16:12:16
6001,58677,5003,50,0,58200.0,58662,1125,7,3.4418,3.5424,48.996534,-122.61576166666669,45.64136166666667,2,2,16:17:57,16:10:00,16:17:42
6001,59255,5003,50,0,58200.0,59231,1102,10,5.3326,5.4538,50.533665,-122.58652,45.653145,2,2,16:27:35,16:10:00,16:27:11
6001,58446,5003,50,0,58200.0,58428,1123,8,2.5899,2.6756,9.917252,-122.63262833333332,45.63736333333333,2,2,16:14:06,16:10:00,16:13:48
6001,58737,5003,50,0,58200.0,58722,1126,7,3.6717,3.7686,76.292892,-122.61126666666668,45.642518333333335,2,2,16:18:57,16:10:00,16:18:42
6001,59043,5003,50,0,58200.0,59026,1129,6,4.6143,4.7293,42.768735,-122.59276,45.646965,2,2,16:24:03,16:10:00,16:23:46
6001,57748,5003,50,0,58200.0,57720,1115,7,0.3647,0.3971,56.235667,-122.670455,45.63084,2,2,16:02:28,16:10:00,16:02:00
6001,58148,5003,50,0,58080.0,58134,1119,6,1.7013,1.7597,58.314887,-122.65053833333332,45.63717666666667,2,4,16:09:08,16:08:00,16:08:54
6001,58865,5003,50,0,58620.0,58844,1127,7,4.0308,4.1346,29.662475,-122.60429333333332,45.64411166666667,2,4,16:21:05,16:17:00,16:20:44
6001,59437,5003,50,0,59160.0,59437,1095,0,5.7856,6.0031,85.563293,-122.58435333333334,45.65628333333333,2,6,16:30:37,16:26:00,16:30:37
6001,57566,5003,50,0,57480.0,57566,1017,4,0.0,0.0,1.175629,-122.67200333333334,45.62664,2,5,15:59:26,15:58:00,15:59:26
6001,57836,5003,50,0,57480.0,57824,1116,7,0.5133,0.5381,93.404524,-122.67041833333332,45.63297666666666,2,2,16:03:56,15:58:00,16:03:44
