vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4034,65081,6002,60,1,,65081,1015,3,2.5395,2.7452,136.860011,-122.68440666666666,45.612715,2,2,18:04:41,,18:04:41
4034,64982,6002,60,1,64920.0,64925,986,3,2.0934,2.2972,61.802973,-122.68129333333331,45.610958333333336,2,4,18:03:02,18:02:00,18:02:05
4034,64347,6002,60,1,64920.0,64316,908,3,0.0261,0.1877,26.206896,-122.67050333333331,45.62856666666666,2,2,17:52:27,18:02:00,17:51:56
4034,65273,6002,60,1,65340.0,65273,832,0,4.0607,4.3782,79.211824,-122.68550833333332,45.59594,2,6,18:07:53,18:09:00,18:07:53
