vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4004,44449,6001,60,1,44580.0,44449,906,2,0.0,0.0,520.11907,-122.67057666666666,45.627676666666666,2,5,12:20:49,12:23:00,12:20:49
4004,45017,6001,60,1,45000.0,45017,986,5,2.1394,2.2972,117.545338,-122.68135166666669,45.61080666666667,2,4,12:30:17,12:30:00,12:30:17
4004,45295,6001,60,1,45420.0,45295,832,0,4.0656,4.3782,69.421345,-122.685485,45.59596666666667,2,6,12:34:55,12:37:00,12:34:55
4004,44760,6001,60,1,44760.0,44517,1132,5,0.1647,0.3275,22.431229,-122.67045,45.63060333333333,2,4,12:26:00,12:26:00,12:21:57
