vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4009,65494,3701,37,1,65220.0,65466,753,10,1.5951,1.6305,26.696312,-122.50524166666666,45.61573,2,4,18:11:34,18:07:00,18:11:06
4009,66199,3701,37,1,65220.0,66128,469,11,4.4353,4.5037,29.244492,-122.56397666666666,45.62112,2,2,18:23:19,18:07:00,18:22:08
4009,66522,3701,37,1,65220.0,66522,623,11,5.8689,5.9086,51.225858,-122.59226833333334,45.62477833333333,2,2,18:28:42,18:07:00,18:28:42
4009,66657,3701,37,1,65220.0,66657,450,8,6.7263,6.7928,82.713535,-122.60931,45.62824166666667,2,2,18:30:57,18:07:00,18:30:57
4009,66738,3701,37,1,65220.0,66738,458,8,7.5236,7.5814,35.010223,-122.62571166666666,45.62864,2,2,18:32:18,18:07:00,18:32:18
4009,66902,3701,37,1,65220.0,66902,489,3,8.4339,8.514,42.259989,-122.64446666666667,45.62836333333333,2,2,18:35:02,18:07:00,18:35:02
4009,64975,3701,37,1,65220.0,64975,836,5,0.448,0.4468,116.501617,-122.50380833333334,45.599266666666665,2,2,18:02:55,18:07:00,18:02:55
4009,65689,3701,37,1,65220.0,65629,499,8,2.4724,2.5184,22.648238,-122.52334666666668,45.61774,2,2,18:14:49,18:07:00,18:13:49
4009,65800,3701,37,1,65580.0,65785,691,9,2.9577,3.0124,2.397877,-122.53334166666669,45.61883666666667,2,4,18:16:40,18:13:00,18:16:25
4009,66542,3701,37,1,65580.0,66542,453,11,6.0534,6.0938,58.999144,-122.59594166666666,45.62561166666666,2,2,18:29:02,18:13:00,18:29:02
4009,66618,3701,37,1,66360.0,66588,744,8,6.3411,6.4312,121.380364,-122.60280833333331,45.627155,2,4,18:30:18,18:26:00,18:29:48
4009,66982,3701,37,1,66360.0,66967,746,2,8.8055,8.926,37.423867,-122.65310166666669,45.62864,2,2,18:36:22,18:26:00,18:36:07
4009,67130,3701,37,1,66360.0,67130,1091,2,9.7133,9.8021,131.221696,-122.67052666666666,45.632576666666665,2,2,18:38:50,18:26:00,18:38:50
4009,65536,3701,37,1,66360.0,65536,755,10,1.8069,1.8219,82.752755,-122.50939166666667,45.61616,2,2,18:12:16,18:26:00,18:12:16
4009,65581,3701,37,1,66360.0,65581,496,10,2.1549,2.1406,252.440885,-122.51653166666668,45.61701166666667,2,2,18:13:01,18:26:00,18:13:01
4009,66277,3701,37,1,66360.0,66277,468,11,4.6367,4.6845,117.097062,-122.56714333333332,45.62107833333334,2,2,18:24:37,18:26:00,18:24:37
4009,66450,3701,37,1,66360.0,66425,633,11,5.4469,5.5314,61.955953,-122.58484333333334,45.62331833333333,2,2,18:27:30,18:26:00,18:27:05
4009,66634,3701,37,1,66360.0,66634,451,8,6.4896,6.5648,48.978779,-122.60521166666666,45.62759333333333,2,2,18:30:34,18:26:00,18:30:34
4009,66791,3701,37,1,66360.0,66764,456,4,7.664,7.7659,11.475139,-122.62952333333334,45.627855,2,2,18:33:11,18:26:00,18:32:44
4009,67202,3701,37,1,66360.0,67184,14,0,9.9134,10.0476,34.652619,-122.67281666666666,45.630745,2,2,18:40:02,18:26:00,18:39:44
4009,65892,3701,37,1,66360.0,65892,575,8,3.5039,3.5244,155.062167,-122.544365,45.620016666666665,2,2,18:18:12,18:26:00,18:18:12
4009,65968,3701,37,1,66360.0,65968,470,8,3.8047,3.8308,7.916729,-122.54998833333332,45.62061833333333,2,2,18:19:28,18:26:00,18:19:28
4009,66678,3701,37,1,66360.0,66678,767,8,6.9308,7.0022,131.607132,-122.6134,45.6288,2,2,18:31:18,18:26:00,18:31:18
4009,67336,3701,37,1,67080.0,67336,344,0,10.183,10.3489,7.423903,-122.66983333333332,45.62871166666667,2,6,18:42:16,18:38:00,18:42:16
4009,64844,3701,37,1,64800.0,64844,492,5,0.0,0.0,445.459673,-122.50628666666668,45.59506833333333,2,5,18:00:44,18:00:00,18:00:44
4009,65058,3701,37,1,64800.0,65058,752,5,0.7543,0.7425,53.533706,-122.50371166666666,45.603361666666665,2,2,18:04:18,18:00:00,18:04:18
4009,65712,3701,37,1,64800.0,65712,751,8,2.6812,2.6974,68.965762,-122.52718,45.618145,2,2,18:15:12,18:00:00,18:15:12
4009,66329,3701,37,1,64800.0,66311,464,12,4.9213,4.9952,51.915237,-122.57411333333332,45.62132166666667,2,2,18:25:29,18:00:00,18:25:11
4009,66387,3701,37,1,64800.0,66387,463,12,5.199,5.2469,11.249552,-122.57893833333333,45.622335,2,2,18:26:27,18:00:00,18:26:27
4009,66705,3701,37,1,64800.0,66705,459,8,7.1955,7.2582,92.308597,-122.61952833333334,45.62878666666667,2,2,18:31:45,18:00:00,18:31:45
4009,65859,3701,37,1,64800.0,65844,473,8,3.2156,3.2703,33.482397,-122.53871666666667,45.619405,2,2,18:17:39,18:00:00,18:17:24
4009,66923,3701,37,1,64800.0,66923,478,3,8.6079,8.6849,23.89249,-122.64808666666669,45.628375,2,2,18:35:23,18:00:00,18:35:23
4009,65275,3701,37,1,64800.0,65095,199,9,0.8736,0.9047,16.738087,-122.50373166666668,45.605645,2,2,18:07:55,18:00:00,18:04:55
4009,65352,3701,37,1,64800.0,65352,200,9,1.3111,1.3111,50.179102,-122.50401333333332,45.61161333333333,2,2,18:09:12,18:00:00,18:09:12
4009,66294,3701,37,1,64800.0,66294,466,11,4.815,4.8529,100.487333,-122.57144833333334,45.621085,2,2,18:24:54,18:00:00,18:24:54
4009,66399,3701,37,1,64800.0,66399,461,12,5.2984,5.3457,122.451525,-122.58130166666666,45.622835,2,2,18:26:39,18:00:00,18:26:39
