vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4012,36681,6501,65,0,36600,36681,722.0,1,0.0,0.0,5.989423,-122.564525,45.558751666666666,2,5,10:11:21,10:10:00,10:11:21
4012,37080,6501,65,0,37140,37080,0.0,1,4.1066,4.1445,101.302374,-122.54569166666668,45.60202,1,4,10:18:00,10:19:00,10:18:00
4012,37008,6501,65,0,37020,37008,0.0,1,3.3324,3.3716,45.668669,-122.55077,45.60038333333333,1,4,10:16:48,10:17:00,10:16:48
4012,37192,6501,65,0,37320,37192,0.0,1,5.688,5.7222,186.610753,-122.51524166666668,45.594755,1,4,10:19:52,10:22:00,10:19:52
