vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2901,36387,601,6,1,,36387,1035,1,1.3378,1.3527,93.085068,-122.67510833333333,45.640255,2,2,10:06:27,,10:06:27
2901,36553,601,6,1,36600.0,36553,995,1,2.4774,2.5445,23.142707,-122.69234833333331,45.64553833333333,2,6,10:09:13,10:10:00,10:09:13
2901,36419,601,6,1,36600.0,36419,1036,1,1.5826,1.5801,137.298846,-122.68069,45.64029333333333,2,2,10:06:59,10:10:00,10:06:59
2901,36231,601,6,1,36600.0,36231,128,1,0.9507,0.937,77.859614,-122.66719,45.640168333333335,2,2,10:03:51,10:10:00,10:03:51
2901,36504,601,6,1,36600.0,36504,3,1,2.2388,2.2605,49.268459,-122.69252166666666,45.641595,2,2,10:08:24,10:10:00,10:08:24
