vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2291,70751,6002,60,1,70620.0,70751,906,7,0.0,0.0,19.863416,-122.67052166666667,45.626198333333335,2,5,19:39:11,19:37:00,19:39:11
2291,71618,6002,60,1,71460.0,71618,832,0,4.1862,4.3782,51.011072,-122.68546666666668,45.59601833333333,2,6,19:53:38,19:51:00,19:53:38
2291,70873,6002,60,1,71460.0,70806,908,11,0.1597,0.1877,26.0332,-122.67053,45.62854333333333,2,2,19:41:13,19:51:00,19:40:06
2291,70979,6002,60,1,70800.0,70911,1132,10,0.2914,0.3275,36.300272,-122.67048666666666,45.630635,2,4,19:42:59,19:40:00,19:41:51
