vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4012,32777,6501,65,1,32820,32777,0.0,6,4.6969,4.8989,97.47791,-122.54402333333331,45.57982333333333,1,4,09:06:17,09:07:00,09:06:17
4012,32661,6501,65,1,32700,32661,0.0,6,3.0087,3.215,159.444831,-122.551815,45.60351166666667,1,4,09:04:21,09:05:00,09:04:21
4012,32603,6501,65,1,32640,32603,0.0,6,2.3842,2.5644,222.25584,-122.54700166666666,45.60293166666666,1,4,09:03:23,09:04:00,09:03:23
