vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4004,41229,6001,60,0,41220.0,41229,906,4,4.4695,4.5254,577.144953,-122.67057,45.627833333333335,2,6,11:27:09,11:27:00,11:27:09
4004,40799,6001,60,0,40800.0,40758,919,4,1.9505,2.017,16.277683,-122.68118,45.61105666666667,2,4,11:19:59,11:20:00,11:19:18
4004,40909,6001,60,0,40800.0,40909,1015,4,2.3979,2.465,119.295578,-122.684425,45.61266666666667,2,2,11:21:49,11:20:00,11:21:49
