vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4034,36231,6002,60,0,,36222,918,0,1.5714,1.6317,26.740397,-122.67729,45.61129666666667,2,2,10:03:51,,10:03:42
4034,36415,6002,60,0,,36402,1015,0,2.3736,2.465,23.35266,-122.68460166666668,45.612431666666666,2,2,10:06:55,,10:06:42
4034,37401,6002,60,0,36720.0,37401,906,0,4.49,4.5254,600.720892,-122.67055333333332,45.62789833333333,2,6,10:23:21,10:12:00,10:23:21
