vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2404,46876,601,6,1,46800.0,46876,880,2,0.0,0.0,16.836781,-122.65560666666669,45.638295,2,5,13:01:16,13:00:00,13:01:16
2404,47168,601,6,1,46800.0,47126,128,0,0.9097,0.937,31.212629,-122.66700666666668,45.640186666666665,2,2,13:06:08,13:00:00,13:05:26
2404,47256,601,6,1,47160.0,47225,1019,3,1.18,1.2135,68.961465,-122.67287166666668,45.64022833333333,2,4,13:07:36,13:06:00,13:07:05
2404,47344,601,6,1,47160.0,47344,1036,3,1.5932,1.5801,95.091962,-122.68052333333333,45.64028,2,2,13:09:04,13:06:00,13:09:04
2404,47307,601,6,1,47160.0,47307,1035,3,1.349,1.3527,72.012796,-122.675745,45.64024333333333,2,2,13:08:27,13:06:00,13:08:27
