vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
4037,32812,7101,71,0,,32812,266,6,2.3929,2.3488,19.361484,-122.664965,45.662416666666665,2,2,09:06:52,,09:06:52
4037,32875,7101,71,0,,32875,264,6,2.8036,2.7614,108.745909,-122.66383,45.66858666666667,2,2,09:07:55,,09:07:55
4037,32908,7101,71,0,,32896,930,7,2.9136,2.9018,24.682728,-122.66346333333334,45.67035,2,2,09:08:28,,09:08:16
4037,33196,7101,71,0,,33196,537,5,4.3738,4.3428,161.326337,-122.65759333333334,45.69108833333333,2,2,09:13:16,,09:13:16
4037,32465,7101,71,0,,32465,910,6,0.1932,0.1771,16.600902,-122.67048833333334,45.63136833333333,2,2,09:01:05,,09:01:05
4037,32533,7101,71,0,,32533,1090,6,0.3567,0.3324,46.943521,-122.67044333333334,45.63345833333333,2,2,09:02:13,,09:02:13
4037,32575,7101,71,0,,32575,109,6,0.645,0.6052,145.278322,-122.67034166666669,45.637933333333336,2,2,09:02:55,,09:02:55
4037,32422,7101,71,0,32400.0,32422,908,6,0.0,0.0,31.785163,-122.67046833333332,45.628595,2,5,09:00:22,09:00:00,09:00:22
4037,32983,7101,71,0,33120.0,32983,757,7,3.3653,3.3274,21.462385,-122.66237166666669,45.676375,2,4,09:09:43,09:12:00,09:09:43
4037,33122,7101,71,0,33120.0,33104,540,5,4.0321,4.0308,23.99345,-122.66003666666668,45.686505,2,2,09:12:02,09:12:00,09:11:44
4037,32619,7101,71,0,33120.0,32619,106,6,0.8904,0.8662,45.329379,-122.67022,45.641171666666665,2,2,09:03:39,09:12:00,09:03:39
4037,32636,7101,71,0,33120.0,32636,276,6,1.0116,0.993,18.358489,-122.669895,45.643115,2,2,09:03:56,09:12:00,09:03:56
4037,33045,7101,71,0,33120.0,33045,760,6,3.6319,3.5878,173.391727,-122.66156166666669,45.680625,2,2,09:10:45,09:12:00,09:10:45
4037,33169,7101,71,0,33120.0,33169,538,5,4.2185,4.1936,74.967145,-122.65902,45.688455,2,2,09:12:49,09:12:00,09:12:49
4037,32732,7101,71,0,33120.0,32732,727,6,1.733,1.71,24.44164,-122.66672166666666,45.653265,2,2,09:05:32,09:12:00,09:05:32
4037,32667,7101,71,0,32760.0,32667,274,6,1.2477,1.2154,37.544189,-122.66850666666669,45.64625166666666,2,4,09:04:27,09:06:00,09:04:27
4037,32713,7101,71,0,32760.0,32713,705,6,1.5795,1.554,0.862274,-122.66728666666668,45.65097,2,2,09:05:13,09:06:00,09:05:13
4037,32942,7101,71,0,32760.0,32942,260,7,3.1423,3.1174,9.514975,-122.66291666666666,45.67342666666666,2,2,09:09:02,09:06:00,09:09:02
4037,32583,7101,71,0,32760.0,32583,110,6,0.709,0.6947,108.717254,-122.670335,45.638531666666665,2,2,09:03:03,09:06:00,09:03:03
4037,32689,7101,71,0,32760.0,32689,270,6,1.4105,1.3838,36.644013,-122.66791833333332,45.64844833333333,2,2,09:04:49,09:06:00,09:04:49
