vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2294,86471,6001,60,1,,86471,1015,2,2.5476,2.7452,154.220538,-122.68437833333331,45.61275833333333,2,2,00:01:11,,00:01:11
2294,86688,6001,60,1,86760.0,86688,832,0,4.0551,4.3782,54.079551,-122.685465,45.59601,2,6,00:04:48,00:06:00,00:04:48
2294,86109,6001,60,1,86100.0,85943,1132,2,0.1572,0.3275,10.816025,-122.67043333333334,45.63051333333333,2,4,23:55:09,23:55:00,23:52:23
