vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2291,38240,6002,60,0,,38225,1015,1,2.3569,2.465,3.199658,-122.68465666666668,45.612388333333335,2,2,10:37:20,,10:37:05
2291,38143,6002,60,0,38100.0,38113,919,2,1.9449,2.017,34.160834,-122.68119333333334,45.61100833333333,2,4,10:35:43,10:35:00,10:35:13
2291,37832,6002,60,0,37800.0,37832,832,2,0.0,0.0,172.134883,-122.68551,45.595685,2,5,10:30:32,10:30:00,10:30:32
