vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
1298380,49495,6501,65,0,49620,49495,0.0,3,3.3399,3.3716,44.608594,-122.550785,45.60060833333333,1,4,13:44:55,13:47:00,13:44:55
1298380,49658,6501,65,0,49920,49658,0.0,3,5.6843,5.7222,110.622714,-122.51497666666668,45.594665,1,4,13:47:38,13:52:00,13:47:38
1298380,49374,6501,65,0,49440,49374,0.0,3,1.4938,1.5043,213.525783,-122.54638166666666,45.57403333333333,1,4,13:42:54,13:44:00,13:42:54
1298380,49235,6501,65,0,49200,49235,722.0,3,0.0,0.0,26.83235,-122.56459666666666,45.558725,2,5,13:40:35,13:40:00,13:40:35
