vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
2401,38759,2501,25,1,,38759,286,5,4.8436,4.93,115.076988,-122.63826,45.66455833333333,2,2,10:45:59,,10:45:59
2401,39350,2501,25,1,,39350,660,5,7.4589,7.5776,210.895023,-122.65938166666666,45.63231666666667,2,2,10:55:50,,10:55:50
2401,38275,2501,25,1,,38262,561,5,1.9878,2.0654,8.630444,-122.62696333333334,45.69312,2,2,10:37:55,,10:37:42
2401,38423,2501,25,1,,38423,306,5,3.0335,3.0994,106.343261,-122.62456833333331,45.68682333333334,2,2,10:40:23,,10:40:23
2401,38479,2501,25,1,,38479,305,5,3.2212,3.2964,9.92282,-122.62569,45.684421666666665,2,2,10:41:19,,10:41:19
2401,38493,2501,25,1,,38493,302,5,3.3852,3.4617,37.359089,-122.62569,45.68194833333333,2,2,10:41:33,,10:41:33
2401,38658,2501,25,1,,38658,294,5,4.1464,4.2228,104.348031,-122.63392333333331,45.67376,2,2,10:44:18,,10:44:18
2401,38871,2501,25,1,,38871,290,7,5.5128,5.6054,77.905679,-122.63725,45.654943333333335,2,2,10:47:51,,10:47:51
2401,39068,2501,25,1,39060.0,39068,654,8,6.3753,6.4884,7.166154,-122.64517666666669,45.64388,2,4,10:51:08,10:51:00,10:51:08
2401,39444,2501,25,1,39060.0,39444,343,5,8.0176,8.1704,37.693913,-122.66785333333333,45.62875833333333,2,2,10:57:24,10:51:00,10:57:24
2401,38375,2501,25,1,39060.0,38375,1055,5,2.511,2.5514,113.565649,-122.61683,45.69226166666667,2,2,10:39:35,10:51:00,10:39:35
2401,38847,2501,25,1,39060.0,38847,289,7,5.327,5.4252,96.91044,-122.63779166666669,45.65797666666667,2,2,10:47:27,10:51:00,10:47:27
2401,38954,2501,25,1,39060.0,38921,766,8,5.8682,6.0049,17.401502,-122.63993166666668,45.649721666666665,2,2,10:49:14,10:51:00,10:48:41
2401,39418,2501,25,1,39060.0,39418,342,5,7.8336,7.9865,5.444188,-122.66421166666666,45.628681666666665,2,2,10:56:58,10:51:00,10:56:58
2401,39668,2501,25,1,39060.0,39668,1049,4,8.4966,8.652,20.112814,-122.67799666666669,45.62884833333333,2,2,11:01:08,10:51:00,11:01:08
2401,38112,2501,25,1,39060.0,38095,1054,6,0.6133,0.6761,9.889305,-122.65563,45.692978333333336,2,2,10:35:12,10:51:00,10:34:55
2401,38165,2501,25,1,39060.0,38165,563,6,1.1309,1.1458,94.828432,-122.64555,45.69308,2,2,10:36:05,10:51:00,10:36:05
2401,38206,2501,25,1,39060.0,38206,1134,6,1.5087,1.5398,11.003979,-122.63782666666668,45.69314166666667,2,2,10:36:46,10:51:00,10:36:46
2401,38306,2501,25,1,39060.0,38306,693,5,2.2624,2.3177,93.003975,-122.62216,45.69293166666667,2,2,10:38:26,10:51:00,10:38:26
2401,38643,2501,25,1,39060.0,38643,296,5,3.9737,4.0346,205.118548,-122.631005,45.67509666666667,2,2,10:44:03,10:51:00,10:44:03
2401,38721,2501,25,1,39060.0,38721,292,5,4.4869,4.5789,143.25134,-122.63665166666668,45.67001166666667,2,2,10:45:21,10:51:00,10:45:21
2401,39148,2501,25,1,39060.0,39126,657,5,6.7257,6.8761,17.294437,-122.64784166666666,45.638885,2,2,10:52:28,10:51:00,10:52:06
2401,39261,2501,25,1,39060.0,39261,658,5,6.9991,7.1259,105.97734,-122.652045,45.63677166666667,2,2,10:54:21,10:51:00,10:54:21
2401,39562,2501,25,1,39540.0,39468,912,4,8.1008,8.2835,8.04523,-122.67036333333331,45.628818333333335,2,4,10:59:22,10:59:00,10:57:48
2401,39803,2501,25,1,39540.0,39803,605,4,8.9316,9.0882,142.813339,-122.68056666666666,45.632675,2,2,11:03:23,10:59:00,11:03:23
2401,39821,2501,25,1,39900.0,39821,823,3,9.0304,9.2541,29.50348,-122.67824333333331,45.632605,2,6,11:03:41,11:05:00,11:03:41
2401,37822,2501,25,1,37800.0,37822,877,5,0.0,0.0,50.57962,-122.66400333333333,45.690378333333335,2,5,10:30:22,10:30:00,10:30:22
2401,38701,2501,25,1,37800.0,38681,293,5,4.3042,4.4285,22.185204,-122.63653,45.67177,2,2,10:45:01,10:30:00,10:44:41
2401,38748,2501,25,1,37800.0,38748,285,5,4.7367,4.81,184.609441,-122.63824166666669,45.66611,2,2,10:45:48,10:30:00,10:45:48
2401,39388,2501,25,1,37800.0,39388,340,5,7.7193,7.8311,163.241967,-122.662685,45.62965166666667,2,2,10:56:28,10:30:00,10:56:28
2401,39646,2501,25,1,37800.0,39646,1048,4,8.3357,8.4973,62.545174,-122.67497666666668,45.62881333333333,2,2,11:00:46,10:30:00,11:00:46
2401,39755,2501,25,1,37800.0,39755,710,4,8.8011,8.9415,214.109294,-122.68120333333331,45.63113666666667,2,2,11:02:35,10:30:00,11:02:35
2401,38240,2501,25,1,37800.0,38240,562,6,1.8393,1.8722,9.830675,-122.630875,45.69313833333333,2,2,10:37:20,10:30:00,10:37:20
2401,38506,2501,25,1,37800.0,38506,301,5,3.5201,3.5996,126.367308,-122.62569,45.68038333333333,2,2,10:41:46,10:30:00,10:41:46
2401,38613,2501,25,1,38580.0,38613,299,5,3.653,3.7338,60.399418,-122.62583,45.677985,2,4,10:43:33,10:43:00,10:43:33
2401,38836,2501,25,1,38580.0,38836,288,7,5.2226,5.3264,88.952013,-122.63802166666666,45.659371666666665,2,2,10:47:16,10:43:00,10:47:16
2401,39104,2501,25,1,38580.0,39104,656,8,6.6083,6.7226,29.265998,-122.64775666666668,45.641065,2,2,10:51:44,10:43:00,10:51:44
2401,38401,2501,25,1,38580.0,38401,307,5,2.78,2.8434,94.137318,-122.620315,45.68983333333333,2,2,10:40:01,10:43:00,10:40:01
2401,38820,2501,25,1,38580.0,38789,287,7,5.0667,5.1996,21.598259,-122.63812166666666,45.66094666666667,2,2,10:47:00,10:43:00,10:46:29
